game_key,lineup_spot,player_name,pa,ab,h,1b,2b,3b,hr,rbi,r,bb,so,sf,fc,gidp,outs,notes
soviet-sluggers-2021-06-30-1930-ringers,2,JJ,2,2,1,1,0,0,0,0,0,0,0,0,0,0,,
soviet-sluggers-2021-06-30-1930-ringers,3,Austin,2,2,1,0,1,0,0,0,0,0,0,0,0,0,,
soviet-sluggers-2021-06-30-1930-ringers,4,Teo,2,2,1,0,0,0,1,1,1,0,0,0,0,0,,
soviet-sluggers-2021-06-30-1930-ringers,5,Duff,1,1,1,1,0,0,0,0,0,0,0,0,0,0,,
soviet-sluggers-2021-06-30-1930-ringers,6,Walsh,2,1,0,0,0,0,0,0,0,1,0,0,0,0,,
soviet-sluggers-2021-06-30-1930-ringers,7,JT,2,2,0,0,0,0,0,0,0,0,0,0,0,0,,
soviet-sluggers-2021-06-30-1930-ringers,8,Corey,2,2,0,0,0,0,0,0,0,0,0,0,0,0,,
soviet-sluggers-2021-06-30-1930-ringers,9,Stevie,2,2,0,0,0,0,0,0,0,0,0,0,1,0,,
soviet-sluggers-2021-06-30-1930-ringers,10,Harm,2,2,0,0,0,0,0,0,0,0,0,0,0,0,,
soviet-sluggers-2021-06-30-1930-ringers,11,Jason,2,2,0,0,0,0,0,0,0,0,2,0,0,0,,
soviet-sluggers-2021-07-07-2030-no-dice,1,Glove,3,3,3,0,0,2,1,3,2,0,0,0,0,0,,
soviet-sluggers-2021-07-07-2030-no-dice,2,JJ,3,3,1,1,0,0,0,0,0,0,0,0,0,0,,
soviet-sluggers-2021-07-07-2030-no-dice,3,Corey,3,3,1,1,0,0,0,0,0,0,1,0,0,0,,
soviet-sluggers-2021-07-07-2030-no-dice,4,Porter,3,3,1,1,0,0,0,0,0,0,0,0,0,0,,
soviet-sluggers-2021-07-07-2030-no-dice,5,Teo,3,3,1,1,0,0,0,1,0,0,0,0,0,0,,
soviet-sluggers-2021-07-07-2030-no-dice,6,Stevie,2,2,1,1,0,0,0,1,0,0,0,0,0,0,,
soviet-sluggers-2021-07-07-2030-no-dice,7,Duff,2,2,1,0,0,1,0,0,1,0,0,0,0,0,,
soviet-sluggers-2021-07-07-2030-no-dice,8,Jason,2,2,1,1,0,0,0,0,1,0,0,0,0,0,,
soviet-sluggers-2021-07-07-2030-no-dice,9,AJ,2,2,1,1,0,0,0,0,0,0,0,0,0,0,,
soviet-sluggers-2021-07-07-2030-no-dice,10,Kives,3,3,1,1,0,0,0,0,1,0,0,0,0,0,,
soviet-sluggers-2021-07-07-2030-no-dice,11,Layshock,3,3,0,0,0,0,0,0,0,0,0,0,0,0,,
soviet-sluggers-2021-07-07-2030-no-dice,12,JT,2,1,0,0,0,0,0,0,0,1,1,0,0,0,,
soviet-sluggers-2021-07-07-2130-no-dice,1,Porter,3,3,3,3,0,0,0,0,0,0,0,0,0,0,,
soviet-sluggers-2021-07-07-2130-no-dice,2,Layshock,3,3,2,2,0,0,0,1,1,0,0,0,0,0,,
soviet-sluggers-2021-07-07-2130-no-dice,3,JJ,3,2,2,0,2,0,0,0,2,1,0,0,0,0,,
soviet-sluggers-2021-07-07-2130-no-dice,4,JT,3,3,1,1,0,0,0,0,1,0,1,0,0,0,,
soviet-sluggers-2021-07-07-2130-no-dice,5,Corey,3,3,1,0,0,1,0,1,1,0,0,0,0,0,,
soviet-sluggers-2021-07-07-2130-no-dice,6,Teo,3,3,1,0,0,0,1,3,1,0,0,0,1,0,,
soviet-sluggers-2021-07-07-2130-no-dice,7,Glove,3,3,1,0,0,0,1,2,1,0,0,0,0,0,,
soviet-sluggers-2021-07-07-2130-no-dice,8,Duff,2,2,1,0,1,0,0,0,1,0,0,0,0,0,,
soviet-sluggers-2021-07-07-2130-no-dice,9,Stevie,3,3,0,0,0,0,0,1,0,0,0,0,0,0,,
soviet-sluggers-2021-07-07-2130-no-dice,10,Jason,2,1,0,0,0,0,0,0,1,1,0,0,0,0,,
soviet-sluggers-2021-07-07-2130-no-dice,11,AJ,3,3,0,0,0,0,0,1,0,0,0,0,0,0,,
soviet-sluggers-2021-07-07-2130-no-dice,12,Kives,3,3,0,0,0,0,0,0,0,0,0,0,0,0,,
soviet-sluggers-2021-07-14-1830-balls-deep,1,Teo,4,4,3,2,1,0,0,1,1,0,1,0,0,0,,
soviet-sluggers-2021-07-14-1830-balls-deep,2,JJ,4,4,2,1,1,0,0,1,2,0,0,0,0,0,,
soviet-sluggers-2021-07-14-1830-balls-deep,3,Corey,3,3,2,2,0,0,0,2,1,0,0,0,0,0,,
soviet-sluggers-2021-07-14-1830-balls-deep,4,Glove,4,4,2,0,0,2,0,1,2,0,0,0,0,0,,
soviet-sluggers-2021-07-14-1830-balls-deep,5,Duff,3,3,2,2,0,0,0,2,1,0,0,0,0,0,,
soviet-sluggers-2021-07-14-1830-balls-deep,6,AJ,3,3,2,2,0,0,0,2,0,0,0,0,0,0,,
soviet-sluggers-2021-07-14-1830-balls-deep,7,Kives,3,2,2,2,0,0,0,0,2,1,0,0,0,0,,
soviet-sluggers-2021-07-14-1830-balls-deep,8,Porter,4,4,1,0,1,0,0,1,1,0,0,0,0,0,,
soviet-sluggers-2021-07-14-1830-balls-deep,9,Layshock,4,4,0,0,0,0,0,0,0,0,0,0,0,0,,
soviet-sluggers-2021-07-14-1830-balls-deep,10,JT,3,2,0,0,0,0,0,1,0,0,0,1,0,0,,
soviet-sluggers-2021-07-14-1830-balls-deep,11,Stevie,3,3,0,0,0,0,0,0,0,0,1,0,0,0,,
